date;close;Change;Up;Down;Av up;Av down;Relative;RSI
2018-08-10;94.54;-0.9;0;0.9;0.441039513;0.186416246;2.365885606;70.29013707
2018-08-13;94.42;-0.12;0;0.12;0.396935561;0.179774621;2.207962162;68.8275625
2018-08-14;94.16;-0.26;0;0.26;0.357242005;0.187797159;1.902275876;65.5442817
2018-08-15;94.28;0.12;0.12;0;0.333517805;0.169017443;1.973274465;66.36704711
2018-08-16;95.76;1.48;1.48;0;0.448166024;0.152115699;2.946218093;74.65928197
2018-08-17;95.78;0.02;0.02;0;0.405349422;0.136904129;2.960826856;74.75274643
2018-08-20;96.28;0.5;0.5;0;0.41481448;0.123213716;3.366625834;77.09902249
2018-08-21;97.1;0.82;0.82;0;0.455333032;0.110892344;4.106081748;80.41551136
2018-08-22;98.36;1.26;1.26;0;0.535799729;0.09980311;5.368567456;84.29788164
2018-08-23;97.58;-0.78;0;0.78;0.482219756;0.167822799;2.873386444;74.18279806
2018-08-24;97.5;-0.08;0;0.08;0.43399778;0.159040519;2.728850374;73.18208296
2018-08-27;97.98;0.48;0.48;0;0.438598002;0.143136467;3.064194685;75.39487949
2018-08-28;97.6;-0.38;0;0.38;0.394738202;0.16682282;2.366212253;70.29302002
2018-08-29;98.52;0.92;0.92;0;0.447264382;0.150140538;2.978971478;74.86787715
2018-08-30;98.3;-0.22;0;0.22;0.402537944;0.157126485;2.561872014;71.92487557
2018-08-31;97.6;-0.7;0;0.7;0.362284149;0.211413836;1.71362554;63.14893175
2018-09-03;97.62;0.02;0.02;0;0.328055734;0.190272453;1.724136783;63.29112378
2018-09-04;97.24;-0.38;0;0.38;0.295250161;0.209245207;1.411024724;58.52385958
2018-09-05;97.62;0.38;0.38;0;0.303725145;0.188320687;1.612808185;61.72700294
2018-09-06;98.3;0.68;0.68;0;0.34135263;0.169488618;2.014015068;66.82166554
2018-09-07;97.3;-1;0;1;0.307217367;0.252539756;1.216510905;54.88404782
2018-09-10;98.62;1.32;1.32;0;0.408495631;0.22728578;1.797277549;64.25095535
2018-09-11;96.92;-1.7;0;1.7;0.367646067;0.374557202;0.981548519;49.53441764
2018-09-12;96.44;-0.48;0;0.48;0.330881461;0.385101482;0.859205887;46.21359545
2018-09-13;96.94;0.5;0.5;0;0.347793315;0.346591334;1.003468006;50.08655006
2018-09-14;97.34;0.4;0.4;0;0.353013983;0.311932201;1.131701;53.08910583
2018-09-17;96.82;-0.52;0;0.52;0.317712585;0.332738981;0.954840291;48.84492586
2018-09-18;95.6;-1.22;0;1.22;0.285941326;0.421465082;0.678446064;40.42108225
2018-09-19;95.56;-0.04;0;0.04;0.257347194;0.383318574;0.671366354;40.16871302
2018-09-20;97.22;1.66;1.66;0;0.397612474;0.344986717;1.152544301;53.5433487
2018-09-21;98.4;1.18;1.18;0;0.475851227;0.310488045;1.53259114;60.51474775
2018-09-24;97.9;-0.5;0;0.5;0.428266104;0.329439241;1.2999851;56.52145747
2018-09-25;98.4;0.5;0.5;0;0.435439494;0.296495317;1.468621828;59.49156778
2018-09-26;99.3;0.9;0.9;0;0.481895544;0.266845785;1.805895284;64.36075124
2018-09-27;100.25;0.95;0.95;0;0.52870599;0.240161206;2.201462917;68.76427977
2018-09-28;99.24;-1.01;0;1.01;0.475835391;0.317145086;1.50037132;60.00594024
2018-10-01;99.74;0.5;0.5;0;0.478251852;0.285430577;1.675545264;62.62444096
2018-10-02;99;-0.74;0;0.74;0.430426667;0.330887519;1.300824726;56.53732382
2018-10-03;95.72;-3.28;0;3.28;0.387384;0.625798768;0.619023271;38.23436525
2018-10-04;95.96;0.24;0.24;0;0.3726456;0.563218891;0.661635478;39.8183288
2018-10-05;96.36;0.4;0.4;0;0.37538104;0.506897002;0.740546973;42.54679617
2018-10-08;95.82;-0.54;0;0.54;0.337842936;0.510207302;0.662167976;39.8376088
2018-10-09;94.48;-1.34;0;1.34;0.304058642;0.593186571;0.512585175;33.88802055
2018-10-10;94.7;0.22;0.22;0;0.295652778;0.533867914;0.55379387;35.64139881
2018-10-11;92.8;-1.9;0;1.9;0.2660875;0.670481123;0.39686054;28.41089203
2018-10-12;91.88;-0.92;0;0.92;0.23947875;0.695433011;0.344359193;25.61511796
2018-10-15;92.84;0.96;0.96;0;0.311530875;0.625889709;0.497740849;33.23277517
2018-10-16;93.74;0.9;0.9;0;0.370377788;0.563300739;0.657513407;39.66866296
2018-10-17;92.54;-1.2;0;1.2;0.333340009;0.626970665;0.531667633;34.71168426
2018-10-18;90.66;-1.88;0;1.88;0.300006008;0.752273598;0.398799066;28.51010381
2018-10-19;91.96;1.3;1.3;0;0.400005407;0.677046238;0.590809585;37.13892541
2018-10-22;90.78;-1.18;0;1.18;0.360004867;0.727341615;0.494959809;33.10856961
2018-10-23;90.04;-0.74;0;0.74;0.32400438;0.728607453;0.444689906;30.7809935
2018-10-24;90.24;0.2;0.2;0;0.311603942;0.655746708;0.475189487;32.21209827
2018-10-25;93.54;3.3;3.3;0;0.610443548;0.590172037;1.034348477;50.84421321
2018-10-26;92.78;-0.76;0;0.76;0.549399193;0.607154833;0.904874939;47.50311533
